Event, mu_E, mu_Px, mu_Py, mu_Pz, B1_E, B1_Px, B1_Py, B1_Pz, B2_E, B2_Px, B2_Py, B2_Pz, J1_E, J1_Px, J1_Py, J1_Pz, J2_E, J2_Px, J2_Py, J2_Pz, J3_E, J3_Px, J3_Py, J3_Pz
0, 51268.2, 23427.4, -30694.4, 33725.7, 144539, 30556.9, -124646, 66221.1, 41345.7, -36846.1, 16340.4, 7131.34, 130790, -2839.64, 83141.7, 100690, 153528, 24049.1, 36265.6, -147189, 62572, -33733.8, -15020.8, -50334.6
8, 62607.2, -55928.2, -27403.4, -6382.09, 143720, -90881.3, 80127.7, -76677.3, 63423.3, 16406.2, -58006.9, -18648.5, 200560, 163967, 44228.2, 104774, 49101.6, 37159, -12960.1, -28853.1, 31804.9, -28743.6, 11803.6, -203.991
41, 175318, 110076, -128700, 45341.2, 209660, -110486, 118174, -132929, 54280.7, -18821.1, -23772.5, 44825.5, 41029.6, -13010.4, 35725.8, -14619.2, 82184.9, 32212, 13286.3, -73960.8, 68410.5, 8936.84, 32453.5, 59377.2
44, 125126, 32677.8, 102847, 63335.1, 75826.2, -60117, -44410.6, 1588.44, 78404.3, 42069.9, -48633.8, -44018.6, 68863.9, -12781.9, 62414.2, -24681.6, 85371.5, -40072.9, -22510, 71706.7, 112722, 19212.2, -19288.7, -109245
52, 81170.1, 45960.6, -38977.6, -54377.8, 209614, -41145.2, 31890.1, -202909, 126913, 3283.89, -25307, -124202, 128797, 22578, 62056.2, -110476, 168499, 14308.5, 42066.1, -162219, 55170.7, 9476.58, -26691.3, 46793.3
54, 57112.3, -27548.2, -11543.4, 48679.1, 94604.3, 75844.5, 11125.9, 54935.5, 62265.7, -59559.2, 14900.6, 7875.56, 188529, 54178.3, 52863.7, 172373, 76889.2, -33471.2, 22995.2, 64844.8, 77868.8, -13785.2, -22157.4, 73276.7
100, 64891.5, -22903.1, -44698, -41090.5, 357215, 225382, 161059, -223992, 178392, -103229, -140218, -34804.6, 155394, 44551.5, 83469.6, -122820, 112392, -26776.7, -45081.7, -99077.6, 160494, -20458.6, -25679.6, -156987
113, 78314, 22202.4, -56183.6, 49835, 113049, -61189.5, -73349.9, 58952.8, 477914, -18611.1, 92801.4, 468333, 255630, 55598, 60960.3, 241655, 80150.7, 11917.1, -29612.1, 73269.8, 46334.9, 21388.2, 13032.1, -38665
123, 190124, -81916.9, 85738.1, -148612, 216100, -152038, 39321.8, -148055, 61357.8, 47930.1, 21733, -30976.8, 127281, 67982.1, -102051, 30354.6, 60085.1, 47840.1, -14920.2, 32210.4, 144231, 32883.8, -13119.1, 139745
131, 71425.3, -39384.6, 5885.81, 59294, 88519.9, 73560.6, -8235.37, 47645.9, 43936.9, -43477.7, -4070.32, 1204.21, 105857, 51266, 59229.3, -70810.9, 75474.1, 39324.6, -51689.6, 37531.2, 38197.5, -31740, 5191.16, -20362.3
